# Copyright (C) 1991-2015 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus II License Agreement,
# the Altera MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Altera and sold by Altera or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus II 64-Bit Version 15.0.0 Build 145 04/22/2015 SJ Web Edition
# File: C:\cygwin\home\ootomo\CDEC\CDEC_on_DE0CV\output_files\CDEC_on_DE0CV.csv
# Generated on: Wed Oct 28 12:17:43 2015

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
HEX0[6],Output,PIN_AA22,4A,B4A_N0,PIN_AA22,2.5 V,,,,,,,,,,,,,
HEX0[5],Output,PIN_Y21,4A,B4A_N0,PIN_Y21,2.5 V,,,,,,,,,,,,,
HEX0[4],Output,PIN_Y22,4A,B4A_N0,PIN_Y22,2.5 V,,,,,,,,,,,,,
HEX0[3],Output,PIN_W21,4A,B4A_N0,PIN_W21,2.5 V,,,,,,,,,,,,,
HEX0[2],Output,PIN_W22,4A,B4A_N0,PIN_W22,2.5 V,,,,,,,,,,,,,
HEX0[1],Output,PIN_V21,4A,B4A_N0,PIN_V21,2.5 V,,,,,,,,,,,,,
HEX0[0],Output,PIN_U21,4A,B4A_N0,PIN_U21,2.5 V,,,,,,,,,,,,,
HEX1[6],Output,PIN_U22,4A,B4A_N0,PIN_U22,2.5 V,,,,,,,,,,,,,
HEX1[5],Output,PIN_AA17,4A,B4A_N0,PIN_AA17,2.5 V,,,,,,,,,,,,,
HEX1[4],Output,PIN_AB18,4A,B4A_N0,PIN_AB18,2.5 V,,,,,,,,,,,,,
HEX1[3],Output,PIN_AA18,4A,B4A_N0,PIN_AA18,2.5 V,,,,,,,,,,,,,
HEX1[2],Output,PIN_AA19,4A,B4A_N0,PIN_AA19,2.5 V,,,,,,,,,,,,,
HEX1[1],Output,PIN_AB20,4A,B4A_N0,PIN_AB20,2.5 V,,,,,,,,,,,,,
HEX1[0],Output,PIN_AA20,4A,B4A_N0,PIN_AA20,2.5 V,,,,,,,,,,,,,
HEX2[6],Output,PIN_AB21,4A,B4A_N0,PIN_AB21,2.5 V,,,,,,,,,,,,,
HEX2[5],Output,PIN_AB22,4A,B4A_N0,PIN_AB22,2.5 V,,,,,,,,,,,,,
HEX2[4],Output,PIN_V14,4A,B4A_N0,PIN_V14,2.5 V,,,,,,,,,,,,,
HEX2[3],Output,PIN_Y14,4A,B4A_N0,PIN_Y14,2.5 V,,,,,,,,,,,,,
HEX2[2],Output,PIN_AA10,3B,B3B_N0,PIN_AA10,2.5 V,,,,,,,,,,,,,
HEX2[1],Output,PIN_AB17,4A,B4A_N0,PIN_AB17,2.5 V,,,,,,,,,,,,,
HEX2[0],Output,PIN_Y19,4A,B4A_N0,PIN_Y19,2.5 V,,,,,,,,,,,,,
HEX3[6],Output,PIN_V19,4A,B4A_N0,PIN_V19,2.5 V,,,,,,,,,,,,,
HEX3[5],Output,PIN_V18,4A,B4A_N0,PIN_V18,2.5 V,,,,,,,,,,,,,
HEX3[4],Output,PIN_U17,4A,B4A_N0,PIN_U17,2.5 V,,,,,,,,,,,,,
HEX3[3],Output,PIN_V16,4A,B4A_N0,PIN_V16,2.5 V,,,,,,,,,,,,,
HEX3[2],Output,PIN_Y17,4A,B4A_N0,PIN_Y17,2.5 V,,,,,,,,,,,,,
HEX3[1],Output,PIN_W16,4A,B4A_N0,PIN_W16,2.5 V,,,,,,,,,,,,,
HEX3[0],Output,PIN_Y16,4A,B4A_N0,PIN_Y16,2.5 V,,,,,,,,,,,,,
KEY[2],Input,PIN_M7,3A,B3A_N0,PIN_M7,2.5 V,,,,,,,,,,,,,
KEY[1],Input,PIN_W9,3A,B3A_N0,PIN_W9,2.5 V,,,,,,,,,,,,,
KEY[0],Input,PIN_U7,3A,B3A_N0,PIN_U7,2.5 V,,,,,,,,,,,,,
LEDR[9],Output,PIN_L1,2A,B2A_N0,PIN_L1,2.5 V,,,,,,,,,,,,,
LEDR[8],Output,PIN_L2,2A,B2A_N0,PIN_L2,2.5 V,,,,,,,,,,,,,
LEDR[7],Output,PIN_U1,2A,B2A_N0,PIN_U1,2.5 V,,,,,,,,,,,,,
LEDR[6],Output,PIN_U2,2A,B2A_N0,PIN_U2,2.5 V,,,,,,,,,,,,,
LEDR[5],Output,PIN_N1,2A,B2A_N0,PIN_N1,2.5 V,,,,,,,,,,,,,
LEDR[4],Output,PIN_N2,2A,B2A_N0,PIN_N2,2.5 V,,,,,,,,,,,,,
LEDR[3],Output,PIN_Y3,2A,B2A_N0,PIN_Y3,2.5 V,,,,,,,,,,,,,
LEDR[2],Output,PIN_W2,2A,B2A_N0,PIN_W2,2.5 V,,,,,,,,,,,,,
LEDR[1],Output,PIN_AA1,2A,B2A_N0,PIN_AA1,2.5 V,,,,,,,,,,,,,
LEDR[0],Output,PIN_AA2,2A,B2A_N0,PIN_AA2,2.5 V,,,,,,,,,,,,,
SW[9],Input,PIN_AB12,4A,B4A_N0,PIN_AB12,2.5 V,,,,,,,,,,,,,
SW[8],Input,PIN_AB13,4A,B4A_N0,PIN_AB13,2.5 V,,,,,,,,,,,,,
SW[7],Input,PIN_AA13,4A,B4A_N0,PIN_AA13,2.5 V,,,,,,,,,,,,,
SW[6],Input,PIN_AA14,4A,B4A_N0,PIN_AA14,2.5 V,,,,,,,,,,,,,
SW[5],Input,PIN_AB15,4A,B4A_N0,PIN_AB15,2.5 V,,,,,,,,,,,,,
SW[4],Input,PIN_AA15,4A,B4A_N0,PIN_AA15,2.5 V,,,,,,,,,,,,,
SW[3],Input,PIN_T12,4A,B4A_N0,PIN_T12,2.5 V,,,,,,,,,,,,,
SW[2],Input,PIN_T13,4A,B4A_N0,PIN_T13,2.5 V,,,,,,,,,,,,,
SW[1],Input,PIN_V13,4A,B4A_N0,PIN_V13,2.5 V,,,,,,,,,,,,,
