# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Web Edition
# File: D:\cygwin\home\yoshiaki\devel\CDEC_on_DE0\src\pin_assignment.csv
# Generated on: Wed Sep 02 16:54:10 2015

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
BUTTON[2],Input,PIN_F1,1,B1_N0,PIN_F1,,,,,
BUTTON[1],Input,PIN_G3,1,B1_N0,PIN_G3,,,,,
BUTTON[0],Input,PIN_H2,1,B1_N1,PIN_H2,,,,,
HEX0_D[6],Output,PIN_F13,7,B7_N1,PIN_F13,,,,,
HEX0_D[5],Output,PIN_F12,7,B7_N1,PIN_F12,,,,,
HEX0_D[4],Output,PIN_G12,7,B7_N1,PIN_G12,,,,,
HEX0_D[3],Output,PIN_H13,7,B7_N1,PIN_H13,,,,,
HEX0_D[2],Output,PIN_H12,7,B7_N1,PIN_H12,,,,,
HEX0_D[1],Output,PIN_F11,7,B7_N1,PIN_F11,,,,,
HEX0_D[0],Output,PIN_E11,7,B7_N1,PIN_E11,,,,,
HEX0_DP,Output,PIN_D13,7,B7_N1,PIN_D13,,,,,
HEX1_D[6],Output,PIN_A15,7,B7_N1,PIN_A15,,,,,
HEX1_D[5],Output,PIN_E14,7,B7_N1,PIN_E14,,,,,
HEX1_D[4],Output,PIN_B14,7,B7_N1,PIN_B14,,,,,
HEX1_D[3],Output,PIN_A14,7,B7_N1,PIN_A14,,,,,
HEX1_D[2],Output,PIN_C13,7,B7_N1,PIN_C13,,,,,
HEX1_D[1],Output,PIN_B13,7,B7_N1,PIN_B13,,,,,
HEX1_D[0],Output,PIN_A13,7,B7_N1,PIN_A13,,,,,
HEX1_DP,Output,PIN_B15,7,B7_N1,PIN_B15,,,,,
HEX2_D[6],Output,PIN_F14,7,B7_N0,PIN_F14,,,,,
HEX2_D[5],Output,PIN_B17,7,B7_N1,PIN_B17,,,,,
HEX2_D[4],Output,PIN_A17,7,B7_N1,PIN_A17,,,,,
HEX2_D[3],Output,PIN_E15,7,B7_N0,PIN_E15,,,,,
HEX2_D[2],Output,PIN_B16,7,B7_N1,PIN_B16,,,,,
HEX2_D[1],Output,PIN_A16,7,B7_N1,PIN_A16,,,,,
HEX2_D[0],Output,PIN_D15,7,B7_N0,PIN_D15,,,,,
HEX2_DP,Output,PIN_A18,7,B7_N0,PIN_A18,,,,,
HEX3_D[6],Output,PIN_G15,7,B7_N0,PIN_G15,,,,,
HEX3_D[5],Output,PIN_D19,7,B7_N0,PIN_D19,,,,,
HEX3_D[4],Output,PIN_C19,7,B7_N0,PIN_C19,,,,,
HEX3_D[3],Output,PIN_B19,7,B7_N0,PIN_B19,,,,,
HEX3_D[2],Output,PIN_A19,7,B7_N0,PIN_A19,,,,,
HEX3_D[1],Output,PIN_F15,7,B7_N0,PIN_F15,,,,,
HEX3_D[0],Output,PIN_B18,7,B7_N0,PIN_B18,,,,,
HEX3_DP,Output,PIN_G16,7,B7_N0,PIN_G16,,,,,
LEDG[9],Output,PIN_B1,1,B1_N0,PIN_B1,,,,,
LEDG[8],Output,PIN_B2,1,B1_N0,PIN_B2,,,,,
LEDG[7],Output,PIN_C2,1,B1_N0,PIN_C2,,,,,
LEDG[6],Output,PIN_C1,1,B1_N0,PIN_C1,,,,,
LEDG[5],Output,PIN_E1,1,B1_N0,PIN_E1,,,,,
LEDG[4],Output,PIN_F2,1,B1_N0,PIN_F2,,,,,
LEDG[3],Output,PIN_H1,1,B1_N1,PIN_H1,,,,,
LEDG[2],Output,PIN_J3,1,B1_N1,PIN_J3,,,,,
LEDG[1],Output,PIN_J2,1,B1_N1,PIN_J2,,,,,
LEDG[0],Output,PIN_J1,1,B1_N1,PIN_J1,,,,,
SW[9],Input,PIN_D2,1,B1_N0,PIN_D2,,,,,
SW[8],Input,PIN_E4,1,B1_N0,PIN_E4,,,,,
SW[7],Input,PIN_E3,1,B1_N0,PIN_E3,,,,,
SW[6],Input,PIN_H7,1,B1_N0,PIN_H7,,,,,
SW[5],Input,PIN_J7,1,B1_N1,PIN_J7,,,,,
SW[4],Input,PIN_G5,1,B1_N0,PIN_G5,,,,,
SW[3],Input,PIN_G4,1,B1_N0,PIN_G4,,,,,
SW[2],Input,PIN_H6,1,B1_N0,PIN_H6,,,,,
SW[1],Input,PIN_H5,1,B1_N0,PIN_H5,,,,,
SW[0],Input,PIN_J6,1,B1_N0,PIN_J6,,,,,
